date,is_weekend,is_public_hol,is_school_break,official_day_off,is_bridge_day,day_type,is_extended_day_off
2021-02-15,False,False,False,False,False,workday,False
2021-02-16,False,False,False,False,False,workday,False
2021-02-17,False,False,False,False,False,workday,False
2021-02-18,False,False,False,False,False,workday,False
2021-02-19,False,False,False,False,False,workday,False
2021-02-20,True,False,False,True,False,weekend,True
2021-02-21,True,False,False,True,False,weekend,True
2021-02-22,False,False,False,False,False,workday,False
2021-02-23,False,False,False,False,False,workday,False
2021-02-24,False,False,False,False,False,workday,False
2021-02-25,False,False,False,False,False,workday,False
2021-02-26,False,False,False,False,False,workday,False
2021-02-27,True,False,False,True,False,weekend,True
2021-02-28,True,False,False,True,False,weekend,True
2021-03-01,False,False,False,False,False,workday,False
2021-03-02,False,False,False,False,False,workday,False
2021-03-03,False,False,False,False,False,workday,False
2021-03-04,False,False,False,False,False,workday,False
2021-03-05,False,False,False,False,False,workday,False
2021-03-06,True,False,False,True,False,weekend,True
2021-03-07,True,False,False,True,False,weekend,True
2021-03-08,False,False,False,False,False,workday,False
2021-03-09,False,False,False,False,False,workday,False
2021-03-10,False,False,False,False,False,workday,False
2021-03-11,False,False,False,False,False,workday,False
2021-03-12,False,False,False,False,False,workday,False
2021-03-13,True,False,False,True,False,weekend,True
2021-03-14,True,False,False,True,False,weekend,True
2021-03-15,False,False,False,False,False,workday,False
2021-03-16,False,False,False,False,False,workday,False
2021-03-17,False,False,False,False,False,workday,False
2021-03-18,False,False,False,False,False,workday,False
2021-03-19,False,False,False,False,False,workday,False
2021-03-20,True,False,False,True,False,weekend,True
2021-03-21,True,False,False,True,False,weekend,True
2021-03-22,False,False,False,False,False,workday,False
2021-03-23,False,False,False,False,False,workday,False
2021-03-24,False,False,False,False,False,workday,False
2021-03-25,False,False,False,False,False,workday,False
2021-03-26,False,False,False,False,False,workday,False
2021-03-27,True,False,False,True,False,weekend,True
2021-03-28,True,False,False,True,False,weekend,True
2021-03-29,False,False,False,False,False,workday,False
2021-03-30,False,False,False,False,False,workday,False
2021-03-31,False,False,False,False,False,workday,False
2021-04-01,False,False,False,False,False,workday,False
2021-04-02,False,True,False,True,False,public_holiday,True
2021-04-03,True,False,False,True,False,weekend,True
2021-04-04,True,False,False,True,False,weekend,True
2021-04-05,False,True,False,True,False,public_holiday,True
2021-04-06,False,False,False,False,False,workday,False
2021-04-07,False,False,False,False,False,workday,False
2021-04-08,False,False,False,False,False,workday,False
2021-04-09,False,False,False,False,False,workday,False
2021-04-10,True,False,False,True,False,weekend,True
2021-04-11,True,False,False,True,False,weekend,True
